LithicType,Length_mm_,Width_mm_,Thickness_mm_,Freq1_dry_Hz,Freq1_wet_Hz
obsidian,127,88,24,8361.23104942109,5582.81716945666
obsidian,84,50,14,11148.9993052342,7389.59647327677
obsidian,107,73,18,8834.28436519211,5724.19984540771
obsidian,95,46,14,8716.60267010886,5806.56092373943
obsidian,84,58,15,11945.3563984652,7858.06647587699
obsidian,31,25,4,22083.5125814961,12757.5576772729
obsidian,93,53,18,11694.2677415984,8130.255099807
obsidian,112,63,18,8063.11556896401,5345.42424224317
obsidian,105,78,20,10193.370793357,6740.22323260724
obsidian,98,85,44,22600.4735602946,17869.6961556655
obsidian,111,75,13,5928.75930913841,3439.83466556028
obsidian,122,82,21,7928.04411761614,5185.94554080389
obsidian,79,57,18,16206.3325904638,11300.5571909648
obsidian,73,45,14,14762.1203035715,10098.9563193556
obsidian,86,54,12,9116.97509438296,5674.86545607681
obsidian,71,57,12,12686.9697929277,7988.78432540752
obsidian,92,55,10,6638.81811181242,3855.14899923429
obsidian,74,44,12,12313.5770266721,8096.47358333639
obsidian,98,77,14,7938.18286208696,4762.22919353405
obsidian,84,77,22,14553.3352471594,10141.3897068839
obsidian,107,65,20,9815.87151688013,6687.78867076084
obsidian,122,81,19,7172.99229689079,4566.88182648606
obsidian,36,26,13,56364.3853764617,43650.2467457777
obsidian,93,56,20,12993.6308239982,9191.17053968565
obsidian,71,59,9,9192.67726521457,5243.9615843868
obsidian,102,53,19,10261.7087030875,7179.79178267977
obsidian,84,42,14,11148.9993052342,7633.13334023001
obsidian,57,23,10,17294.8465676763,12488.6864233593
obsidian,88,61,12,8707.27631689777,5276.38015715093
obsidian,26,25,5,32912.9274051144,20930.4260733178
